country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","29-07-2026 14:00:00",26.215415,73.070156,PM10,80,145,107
India,"Uttar Pradesh",Ghaziabad,"Wave City, Ghaziabad - UPPCB","29-07-2026 14:00:00",28.646675,77.489049,NO2,NA,NA,NA
India,"Uttar Pradesh",Ghaziabad,"Govindpuram, Ghaziabad - UPPCB","29-07-2026 14:00:00",28.694528,77.494705,NH3,5,5,5
India,"Uttar Pradesh",Ghaziabad,"Govindpuram, Ghaziabad - UPPCB","29-07-2026 14:00:00",28.694528,77.494705,SO2,2,4,3
India,"Uttar Pradesh",Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","29-07-2026 14:00:00",26.730136,83.433859,SO2,42,45,43
India,"Uttar Pradesh","Greater Noida","Knowledge Park - V, Greater Noida - UPPCB","29-07-2026 14:00:00",28.557054,77.453663,NH3,5,6,6
India,"Uttar Pradesh","Greater Noida","Knowledge Park - III, Greater Noida - UPPCB","29-07-2026 14:00:00",28.47272,77.482,NO2,12,54,31
India,"Uttar Pradesh",Jhansi,"Shivaji Nagar, Jhansi - UPPCB","29-07-2026 14:00:00",25.4547,78.6039,PM10,19,68,42
India,"Uttar Pradesh",Jhansi,"Shivaji Nagar, Jhansi - UPPCB","29-07-2026 14:00:00",25.4547,78.6039,OZONE,6,7,7
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB","29-07-2026 14:00:00",17.528544,78.286195,PM2.5,27,43,32
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB","29-07-2026 14:00:00",17.528544,78.286195,PM10,41,70,49
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","29-07-2026 14:00:00",17.4559458,78.4332152,NO2,31,100,51
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","29-07-2026 14:00:00",17.4559458,78.4332152,SO2,NA,NA,NA
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","29-07-2026 14:00:00",17.4559458,78.4332152,OZONE,18,93,37
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","29-07-2026 14:00:00",17.349694,78.451437,NO2,5,9,8
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","29-07-2026 14:00:00",17.349694,78.451437,NH3,2,2,2
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","29-07-2026 14:00:00",17.349694,78.451437,CO,57,83,71
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB","29-07-2026 14:00:00",17.429398,78.569354,PM10,52,63,57
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","29-07-2026 14:00:00",17.37206,78.50864,NH3,2,3,2
India,"Uttar Pradesh",Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","29-07-2026 14:00:00",29.06351,77.709723,PM2.5,43,156,78
India,"Uttar Pradesh",Meerut,"Ganga Nagar, Meerut - UPPCB","29-07-2026 14:00:00",28.999264,77.7590354,NO2,28,46,36
India,"Uttar Pradesh",Meerut,"Ganga Nagar, Meerut - UPPCB","29-07-2026 14:00:00",28.999264,77.7590354,CO,44,49,47
India,"Uttar Pradesh",Meerut,"MIET College, Meerut - UPPCB","29-07-2026 14:00:00",28.972677,77.641018,PM2.5,26,119,81
India,"Uttar Pradesh",Meerut,"MIET College, Meerut - UPPCB","29-07-2026 14:00:00",28.972677,77.641018,PM10,52,121,97
India,"Uttar Pradesh",Meerut,"MIET College, Meerut - UPPCB","29-07-2026 14:00:00",28.972677,77.641018,NH3,5,8,7
India,"Uttar Pradesh",Meerut,"MIET College, Meerut - UPPCB","29-07-2026 14:00:00",28.972677,77.641018,OZONE,2,27,15
India,"Uttar Pradesh",Moradabad,"Kashiram Nagar, Moradabad - UPPCB","29-07-2026 14:00:00",28.849399,78.742362,PM2.5,11,48,22
India,"Uttar Pradesh",Moradabad,"Kashiram Nagar, Moradabad - UPPCB","29-07-2026 14:00:00",28.849399,78.742362,NO2,24,25,25
India,"Uttar Pradesh",Moradabad,"Kashiram Nagar, Moradabad - UPPCB","29-07-2026 14:00:00",28.849399,78.742362,NH3,4,4,4
India,"Uttar Pradesh",Moradabad,"Employment Office, Moradabad - UPPCB","29-07-2026 14:00:00",28.88528,78.7388,NO2,23,24,23
India,"Uttar Pradesh",Moradabad,"Employment Office, Moradabad - UPPCB","29-07-2026 14:00:00",28.88528,78.7388,NH3,3,3,3
India,"Uttar Pradesh",Moradabad,"Employment Office, Moradabad - UPPCB","29-07-2026 14:00:00",28.88528,78.7388,OZONE,17,45,28
India,"Uttar Pradesh",Moradabad,"Eco Herbal Park, Moradabad - UPPCB","29-07-2026 14:00:00",28.840739,78.697531,PM2.5,5,95,34
India,"Uttar Pradesh",Moradabad,"Eco Herbal Park, Moradabad - UPPCB","29-07-2026 14:00:00",28.840739,78.697531,CO,14,23,20
India,"Uttar Pradesh",Moradabad,"Buddhi Vihar, Moradabad - UPPCB","29-07-2026 14:00:00",28.83526,78.7446,CO,31,36,34
India,"Uttar Pradesh",Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","29-07-2026 14:00:00",29.4723508,77.7194031,CO,23,46,33
India,"Uttar Pradesh",Noida,"Sector-116, Noida - UPPCB","29-07-2026 14:00:00",28.56923,77.393848,PM10,20,490,138
India,"Uttar Pradesh",Noida,"Sector-116, Noida - UPPCB","29-07-2026 14:00:00",28.56923,77.393848,NO2,30,116,68
India,"Uttar Pradesh",Noida,"Sector-1, Noida - UPPCB","29-07-2026 14:00:00",28.5898,77.3101,PM10,4,84,55
India,"Uttar Pradesh",Noida,"Sector-1, Noida - UPPCB","29-07-2026 14:00:00",28.5898,77.3101,SO2,8,13,11
India,"Uttar Pradesh",Noida,"Sector-1, Noida - UPPCB","29-07-2026 14:00:00",28.5898,77.3101,CO,32,40,36
India,"Uttar Pradesh",Noida,"Sector - 62, Noida - IITM","29-07-2026 14:00:00",28.6245479,77.3577104,CO,31,40,35
India,"Uttar Pradesh",Noida,"Sector - 125, Noida - UPPCB","29-07-2026 14:00:00",28.5447608,77.3231257,NO2,11,56,29
India,"Uttar Pradesh",Noida,"Sector - 125, Noida - UPPCB","29-07-2026 14:00:00",28.5447608,77.3231257,SO2,5,13,8
India,"Uttar Pradesh",Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","29-07-2026 14:00:00",25.44919916,81.82735986,CO,12,14,13
India,"Uttar Pradesh",Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","29-07-2026 14:00:00",25.494,81.863,NO2,12,12,12
India,"Uttar Pradesh",Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","29-07-2026 14:00:00",25.494,81.863,NH3,8,8,8
India,"Uttar Pradesh",Raebareli," Indira Nagar, Raebareli - NTPC Unchahar","29-07-2026 14:00:00",26.207781,81.245571,NO2,NA,NA,NA
India,"Uttar Pradesh",Raebareli," Indira Nagar, Raebareli - NTPC Unchahar","29-07-2026 14:00:00",26.207781,81.245571,OZONE,6,26,18
India,"Uttar Pradesh",Shamli,"New Tehsil, Shamli - UPPCB","29-07-2026 14:00:00",29.4603683,77.3410291,NH3,NA,NA,NA
India,"Uttar Pradesh",Shamli,"New Tehsil, Shamli - UPPCB","29-07-2026 14:00:00",29.4603683,77.3410291,OZONE,33,37,36
India,"Uttar Pradesh",Varanasi,"Ardhali Bazar, Varanasi - UPPCB","29-07-2026 14:00:00",25.3505986,82.9083074,SO2,13,18,16
India,"Uttar Pradesh",Varanasi,"Bhelupur, Varanasi - UPPCB","29-07-2026 14:00:00",25.301778,82.996789,NO2,8,8,8
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB","29-07-2026 14:00:00",29.2124114,78.9611753,PM10,NA,NA,NA
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB","29-07-2026 14:00:00",29.2124114,78.9611753,NH3,NA,NA,NA
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB","29-07-2026 14:00:00",30.075911,78.2859547,PM2.5,2,2,2
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB","29-07-2026 14:00:00",30.075911,78.2859547,NO2,7,7,7
India,"West Bengal",Asansol,"Evelyn Lodge, Asansol - WBPCB","29-07-2026 14:00:00",23.697936,86.944395,PM10,18,35,29
India,"West Bengal",Asansol,"Evelyn Lodge, Asansol - WBPCB","29-07-2026 14:00:00",23.697936,86.944395,NH3,4,5,4
India,"West Bengal",Asansol,"Evelyn Lodge, Asansol - WBPCB","29-07-2026 14:00:00",23.697936,86.944395,SO2,75,76,76
India,"West Bengal",Asansol,"Mahabir Colliery, Asansol - WBPCB","29-07-2026 14:00:00",23.618183,87.105718,SO2,1,4,2
India,"West Bengal",Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB","29-07-2026 14:00:00",23.616515,87.119133,PM2.5,13,56,34
India,"West Bengal",Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB","29-07-2026 14:00:00",23.616515,87.119133,PM10,7,56,34
India,"West Bengal",Barrackpore,"SVSPA Campus, Barrackpore - WBPCB","29-07-2026 14:00:00",22.7605581,88.3617589,CO,37,40,38
India,"West Bengal",Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","29-07-2026 14:00:00",23.567923,87.306843,PM10,7,25,15
